rank,node,pagerank
1,1347686776,0.0029103529214066833
2,1351129033,0.00263047123740377
3,1276716437,0.0025589969375042865
4,1379442891,0.0019393238479468722
5,1318146772,0.0018131108680855728
6,1217341726,0.0017936087022504613
7,1159768893,0.001482245625064151
8,1077006331,0.0013674827612532232
9,1395630712,0.00107050968457563
10,1106101850,0.000997614307403622
11,1017264508,0.0009531525194708247
12,1202347372,0.000943429384393113
13,1090585095,0.0009255786645667542
14,1460720133,0.0009052807640412578
15,1317617591,0.0008857660098567533
16,1050051043,0.0008839266536865602
17,1474344201,0.0008813451372008493
18,1190105159,0.0008794547255976152
19,1490439828,0.0008760478798547385
20,1297914978,0.0008584933549338197
21,1319486488,0.0008563297630041721
22,1134127313,0.0008483970822648991
23,1324402461,0.000842628408177119
24,1347059582,0.0008359664393435287
25,1017026416,0.0008285247758496767
26,1055577594,0.000779325683495626
27,1136107199,0.0007554475947330139
28,1089365067,0.0007535211818317661
29,1238958753,0.0007296452438857843
30,1025637516,0.000706028369772283
31,1067944291,0.0007013141954223686
32,1226057462,0.0006959111536744664
33,1021332018,0.0006950955673478171
34,1162995450,0.000664013806945523
35,1228824558,0.000651887596012026
36,1067389944,0.0006431052105920189
37,1259722839,0.0006393217298111773
38,1266472291,0.000635961629788931
39,1254272389,0.0006244107291233327
40,1188146418,0.0005761472408581319
41,1086836533,0.0005695455923114226
42,1295807959,0.0005686814324585061
43,1218008414,0.0005666366952633057
44,1092420436,0.0005648178282933052
45,1260790276,0.0005643072992992891
46,1225545520,0.0005538810751527921
47,1013409940,0.0005511992577071249
48,1086777526,0.0005481987461479644
49,1183867575,0.0005374602892776145
50,1369861988,0.0005357974414884741
51,1407272195,0.000533972718850573
52,1059593318,0.0005286721831110088
53,1130856889,0.0005284527133616533
54,1284748780,0.0005114722731404254
55,1450663348,0.0005103149473280168
56,1170809216,0.0005098528526849794
57,1326214888,0.0005067493926042087
58,1072043059,0.0005051738256754201
59,1163401725,0.0004959668566285703
60,1105394537,0.0004900318847636221
61,1137296966,0.00048761058531387726
62,1128137142,0.00048433624312621
63,1323086677,0.00047693166514453493
64,1147019357,0.0004753104684722471
65,1074319086,0.0004722595527607289
66,1112869821,0.00046595316720432207
67,1122857397,0.00045618775645510655
68,1498592378,0.0004517502332192428
69,1449321936,0.00044214083763821974
70,1123630682,0.00044211505199674874
71,1044392611,0.00044117876905623007
72,1099202588,0.00043659599373735593
73,1272496847,0.0004349078771995451
74,1146875549,0.00043311691739837026
75,1166997871,0.00043178462528305585
76,1144537274,0.00043084146585030967
77,1100469838,0.00043054382485126235
78,1291361021,0.0004280698349345074
79,1476244763,0.0004270883009588907
80,1369411150,0.00042377023650120866
81,1142336272,0.0004202044299305665
82,1433337849,0.00041670363500105514
83,1117930799,0.00041458057871081587
84,1385413307,0.0004139725984874834
85,1091245684,0.0004078907240312102
86,1270214164,0.00040710239785677694
87,1102035345,0.0004065968552449625
88,1310336110,0.00040599072192341185
89,1199066573,0.0004048020554973015
90,1125959172,0.0004040109328438267
91,1216941950,0.000403973001135351
92,1317631910,0.00040170519273018736
93,1358364387,0.00040149280515207314
94,1072044120,0.0004004270710811422
95,1100502454,0.00039859199398216253
96,1065863885,0.00039688514311356476
97,1053003387,0.000395240454977494
98,1146764319,0.0003941141947769739
99,1135213069,0.00039398530894438593
100,1193127256,0.00039325915158650775
101,1030112746,0.00039157888906976053
102,1387543856,0.00038727375137502317
103,1374976643,0.0003864653491080756
104,1203277094,0.00038133569200709725
105,1258332838,0.0003778953987632659
106,1332744926,0.00037784216301523454
107,1288952285,0.0003764130321694882
108,1081914489,0.0003758023767983547
109,1278847673,0.0003751161742296891
110,1115491532,0.00037362579603451417
111,1301001697,0.00037299112349158163
112,1152889883,0.0003699137175377775
113,1250121897,0.0003682948630743002
114,1072535400,0.0003677514431120316
115,1196010762,0.0003650245764345006
116,1316182109,0.0003603240511878725
117,1121829691,0.00035573605202277037
118,1200315662,0.0003557322172259275
119,1178551826,0.0003552912041967572
120,1047534233,0.0003538356174663234
121,1259357195,0.0003519135657088993
122,1233211950,0.0003488130552349224
123,1426566304,0.0003482080581664156
124,1275496039,0.0003479119167793001
125,1172012954,0.00034744988123211565
126,1134403920,0.0003462039390845323
127,1185646618,0.00034273891073066686
128,1147877619,0.0003421332453649694
129,1128076207,0.0003415007641896159
130,1101889096,0.0003412749399717333
131,1139000680,0.00033774914995784484
132,1198885060,0.000336900772881283
133,1118997421,0.00033635050546780326
134,1090394631,0.00033392986698737367
135,1054437329,0.0003333138106232516
136,1062840188,0.00033153146493019556
137,1129672280,0.0003296489965557034
138,1107099703,0.0003293574683457809
139,1270173330,0.0003293155075306279
140,1032528387,0.00032814163359512765
141,1163580720,0.0003280595016142734
142,1126957323,0.0003245534979341632
143,1142686855,0.0003229002011384486
144,1144648343,0.000322019386033379
145,1324956057,0.000320427411173286
146,1389760116,0.00031995557683036025
147,1437677052,0.0003185449382012563
148,1055033819,0.0003184392782898474
149,1083496155,0.000316297140627677
150,1099259561,0.0003157543535349113
151,1414356870,0.00031562950659294397
152,1235266614,0.00031323326003140017
153,1369740493,0.0003128420017311563
154,1104118438,0.0003120485676177742
155,1174981732,0.0003119858346962655
156,1327073235,0.0003115471868978407
157,1006338194,0.0003113635443114153
158,1095022615,0.0003102434478123597
159,1300425549,0.0003102327086806455
160,1348305419,0.00030839500837035025
161,1066336899,0.0003081550894848145
162,1300493642,0.0003063382797754062
163,1387438338,0.00030089640250867536
164,1293734999,0.0002967155278368513
165,1418539928,0.00029529518384136964
166,1076146582,0.0002952394353671442
167,1259272346,0.0002941904891019288
168,1110742104,0.0002937756892847189
169,1082890487,0.00029367328697137244
170,1125353235,0.0002936277852091251
171,1275095058,0.0002923155371841758
172,1213048479,0.000291302138956362
173,1149082499,0.0002901838600132589
174,1147986963,0.00028764916341535006
175,1358221431,0.0002875612978125262
176,1003686997,0.0002874019222920616
177,1224126104,0.0002868919006513935
178,1233666886,0.000284898547520602
179,1260703582,0.0002848826237422796
180,1392878082,0.0002848537690927224
181,1086398278,0.0002796874044087705
182,1133148470,0.000279549123276861
183,1089434005,0.00027883580085556075
184,1039454809,0.0002787254787872907
185,1030508309,0.0002783465942681984
186,1058410527,0.0002781492688527988
187,1096787972,0.00027791721287836075
188,1240435125,0.00027720259884565096
189,1092892653,0.000276964374250158
190,1277360882,0.00027657608495499443
191,1003541227,0.0002754091384973432
192,1360965504,0.0002746482693600022
193,1134729726,0.00027321932464666806
194,1399324448,0.00027281134864877166
195,1140360697,0.00027218485211165665
196,1222749164,0.00027204839067006406
197,1056612834,0.00027086381382106895
