rank,source,target,weight
188,1217558273,1498471211,1712.0
189,1280744318,1329190414,1707.0
190,1319934286,1324296045,1703.0
191,1233666886,1310336110,1701.0
192,1217558273,1245511919,1700.0
193,1196976299,1474752835,1696.0
194,1207340583,1455723818,1696.0
195,1159768893,1324402461,1688.0
196,1411555593,1498225294,1686.0
197,1247799377,1421152883,1683.0
198,1386099466,1498563702,1681.0
199,1329190414,1499887594,1680.0
200,1225390282,1455723818,1677.0
201,1173942530,1411281632,1677.0
202,1177133774,1324296045,1674.0
203,1225390282,1446015393,1673.0
204,1165190667,1423064351,1672.0
205,1294262324,1365370869,1665.0
206,1160980171,1498225294,1660.0
207,1202942359,1456251369,1657.0
208,1217558273,1286383492,1656.0
209,1376077717,1444727359,1641.0
210,1432858437,1486505944,1639.0
211,1176908416,1308562174,1635.0
212,1282897347,1489521045,1634.0
213,1324402461,1351129033,1634.0
214,1217341726,1347686776,1630.0
215,1238958753,1445178585,1628.0
216,1444727359,1498471211,1627.0
217,1216941950,1432761262,1627.0
218,1291607687,1499887594,1623.0
219,1299409493,1318498635,1620.0
220,1269390275,1422328636,1619.0
221,1456251369,1472934932,1617.0
222,1268722841,1498225294,1617.0
223,1197198490,1499887594,1615.0
224,1148361172,1180234708,1615.0
225,1319203125,1408807671,1613.0
226,1423064351,1446015393,1611.0
227,1397736360,1472280801,1611.0
228,1347686776,1379442891,1604.0
229,1456251369,1462367591,1602.0
230,1286383492,1444727359,1599.0
231,1298694152,1428549791,1591.0
232,1276716437,1379442891,1591.0
233,1177133774,1496157748,1590.0
234,1177133774,1455723818,1589.0
235,1207725802,1451275378,1589.0
236,1275496039,1364647570,1588.0
237,1291607687,1319934286,1587.0
238,1365370869,1400739409,1580.0
239,1283305713,1488104675,1578.0
240,1307588702,1401977752,1577.0
241,1358214409,1428549791,1577.0
242,1126233201,1148361172,1576.0
243,1217341726,1379442891,1574.0
244,1269644877,1318498635,1572.0
245,1238179593,1368653619,1571.0
246,1259272346,1275496039,1569.0
247,1363266574,1418792745,1569.0
248,1096063391,1211078383,1567.0
249,1109341850,1180234708,1565.0
250,1358214409,1452182434,1563.0
251,1411555593,1432858437,1562.0
252,1160980171,1306474713,1555.0
253,1298694152,1358214409,1551.0
254,1196976299,1210696977,1551.0
255,1184074956,1411555593,1550.0
256,1126233201,1180234708,1548.0
257,1120588297,1148361172,1546.0
258,1222020224,1346859778,1543.0
259,1310336110,1439843996,1541.0
260,1155992191,1323435166,1539.0
261,1318498635,1452182434,1538.0
262,1268722841,1411555593,1536.0
263,1207340583,1449467014,1530.0
264,1225390282,1488104675,1527.0
265,1252487268,1491284875,1527.0
266,1210696977,1444727359,1523.0
267,1238958753,1275496039,1521.0
268,1298694152,1318498635,1521.0
269,1217558273,1376077717,1520.0
270,1260703582,1301001697,1517.0
271,1168920372,1259272346,1516.0
272,1178808159,1474879162,1516.0
273,1165190667,1408807671,1515.0
274,1134903637,1207725802,1515.0
275,1178808159,1187433883,1509.0
276,1120588297,1180234708,1508.0
277,1299409493,1428549791,1505.0
278,1109341850,1148361172,1504.0
279,1177133774,1235765787,1504.0
280,1152048413,1415035727,1503.0
281,1408807671,1449467014,1502.0
282,1358214409,1368653619,1500.0
283,1177133774,1344640500,1499.0
284,1260942032,1298838711,1496.0
285,1298694152,1299409493,1494.0
286,1112946347,1474752835,1494.0
287,1319203125,1400739409,1490.0
288,1346859778,1405404126,1489.0
289,1335494070,1432858437,1488.0
290,1222020224,1423064351,1484.0
291,1291607687,1386099466,1484.0
292,1335494070,1358214409,1482.0
293,1398930775,1425088336,1480.0
294,1127620468,1407939630,1480.0
295,1293477045,1434498491,1479.0
296,1199301455,1425088336,1478.0
297,1260703582,1315706903,1474.0
298,1187433883,1222020224,1473.0
299,1418792745,1453068824,1470.0
300,1165190667,1373605649,1469.0
301,1177133774,1446015393,1463.0
302,1199301455,1247799377,1463.0
303,1347686776,1395630712,1459.0
304,1198273471,1292970947,1458.0
305,1238179593,1452182434,1455.0
306,1210696977,1498471211,1454.0
307,1428549791,1452182434,1453.0
308,1420864420,1454859840,1451.0
309,1245511919,1286383492,1451.0
310,1238179593,1428549791,1448.0
311,1318498635,1427225152,1447.0
312,1187433883,1455723818,1435.0
313,1318498635,1498225294,1431.0
314,1356689113,1411555593,1431.0
315,1143430195,1433942658,1430.0
316,1268722841,1427225152,1430.0
317,1397736360,1449467014,1425.0
318,1177133774,1421152883,1424.0
319,1207340583,1446015393,1422.0
320,1423064351,1449467014,1421.0
321,1268722841,1368653619,1421.0
322,1178808159,1280005976,1420.0
323,1187433883,1423064351,1420.0
324,1120588297,1156572824,1419.0
325,1199301455,1318321886,1418.0
326,1207340583,1408807671,1411.0
327,1297050960,1298694152,1411.0
328,1232185057,1295633271,1411.0
329,1299409493,1452182434,1408.0
330,1324296045,1433431026,1406.0
331,1233666886,1301001697,1405.0
332,1318146772,1347686776,1404.0
333,1440284379,1441099496,1403.0
334,1245511919,1498471211,1400.0
335,1100373424,1217558273,1396.0
336,1220263593,1474014038,1395.0
337,1196976299,1245511919,1394.0
338,1196976299,1444727359,1394.0
339,1112946347,1217558273,1393.0
340,1165190667,1344640500,1391.0
341,1356689113,1358214409,1390.0
342,1327487630,1397736360,1389.0
343,1319203125,1346859778,1386.0
344,1238179593,1411555593,1386.0
345,1210696977,1286383492,1384.0
346,1302365424,1346859778,1382.0
347,1298694152,1452182434,1382.0
348,1199301455,1499887594,1382.0
349,1299214950,1299409493,1381.0
350,1196976299,1498471211,1381.0
351,1269644877,1335494070,1381.0
352,1245511919,1376077717,1380.0
353,1297914978,1379442891,1377.0
354,1318498635,1448784685,1375.0
355,1237407412,1453307158,1375.0
356,1315706903,1445178585,1374.0
357,1178808159,1291607687,1373.0
358,1319934286,1421152883,1372.0
359,1281309302,1387543856,1372.0
360,1281946806,1435537844,1372.0
361,1106101850,1379442891,1370.0
362,1156572824,1180234708,1369.0
363,1305500863,1456057692,1369.0
364,1346859778,1423064351,1368.0
365,1233666886,1315706903,1366.0
366,1165327176,1428646409,1366.0
367,1222020224,1225390282,1365.0
368,1445178585,1445560740,1365.0
369,1308562174,1479224336,1364.0
370,1408807671,1468429258,1364.0
371,1298754059,1351970278,1362.0
372,1182659535,1364647570,1362.0
373,1177133774,1408807671,1361.0
374,1376077717,1498471211,1360.0
375,1196035572,1411281632,1359.0
376,1238179593,1297050960,1357.0
377,1318498635,1428549791,1353.0
378,1308555684,1486505944,1353.0
379,1368653619,1474287208,1352.0
380,1168920372,1233666886,1351.0
381,1373605649,1405404126,1350.0
382,1283305713,1365370869,1350.0
383,1148361172,1156572824,1348.0
384,1346859778,1373605649,1348.0
385,1225390282,1302365424,1347.0
386,1425088336,1456553533,1346.0
387,1324296045,1421152883,1345.0
388,1325364142,1333682917,1344.0
389,1217341726,1276716437,1344.0
390,1222020224,1319203125,1343.0
391,1386099466,1499887594,1341.0
392,1204272053,1327391389,1338.0
393,1295633271,1487581276,1337.0
394,1301001697,1310336110,1336.0
395,1283305713,1468429258,1331.0
396,1324296045,1472934932,1328.0
397,1184074956,1335494070,1328.0
398,1150620301,1299409493,1326.0
399,1420473305,1474752835,1325.0
400,1448784685,1486505944,1323.0
401,1077006331,1379442891,1321.0
402,1173787530,1237407412,1321.0
403,1178378693,1368653619,1321.0
404,1182659535,1275496039,1320.0
405,1269644877,1427225152,1319.0
406,1282897347,1338747006,1319.0
407,1301001697,1470051982,1317.0
408,1373605649,1400739409,1312.0
409,1178808159,1421152883,1309.0
410,1423064351,1474879162,1308.0
411,1160980171,1268722841,1307.0
412,1187433883,1225390282,1306.0
413,1456553533,1498225294,1306.0
414,1115793663,1141304156,1306.0
415,1315706903,1439843996,1305.0
416,1318498635,1368653619,1305.0
417,1446015393,1468429258,1303.0
418,1373605649,1415766367,1302.0
419,1459864687,1491284875,1300.0
420,1165190667,1400739409,1298.0
421,1165190667,1225390282,1297.0
422,1386099466,1398930775,1293.0
423,1398930775,1456960878,1292.0
424,1136107199,1297914978,1291.0
425,1199301455,1386099466,1290.0
426,1179877172,1235765787,1290.0
427,1286383492,1376077717,1289.0
428,1187433883,1386099466,1289.0
429,1238958753,1269390275,1289.0
430,1280744318,1327487630,1288.0
431,1348389174,1459864687,1287.0
432,1280005976,1440284379,1287.0
433,1283305713,1319203125,1287.0
434,1286383492,1498471211,1287.0
435,1347059582,1351129033,1287.0
436,1413819770,1444727359,1280.0
437,1297050960,1318498635,1279.0
438,1455723818,1474014038,1278.0
439,1413819770,1474752835,1277.0
440,1165190667,1177133774,1276.0
441,1210696977,1245511919,1273.0
442,1260703582,1364647570,1273.0
443,1298838711,1356689113,1271.0
444,1276763498,1422466982,1269.0
445,1199301455,1319934286,1267.0
446,1165190667,1319203125,1267.0
447,1112946347,1444727359,1266.0
448,1163401725,1434498491,1265.0
449,1137738998,1196010762,1263.0
450,1498563702,1499887594,1263.0
451,1209460739,1398930775,1262.0
452,1341689344,1446015393,1262.0
453,1346859778,1394418056,1260.0
454,1199301455,1421152883,1260.0
455,1217558273,1413819770,1259.0
456,1209201021,1268438293,1258.0
457,1256914329,1415035727,1257.0
458,1327487630,1358214409,1256.0
459,1397736360,1488104675,1255.0
460,1379442891,1395630712,1254.0
461,1283305713,1472280801,1253.0
462,1302365424,1488104675,1251.0
463,1158842751,1300532631,1250.0
464,1233806061,1452153893,1250.0
465,1280532410,1453307158,1247.0
466,1269644877,1397978547,1245.0
467,1177133774,1225390282,1245.0
468,1238179593,1327487630,1245.0
469,1166006430,1351970278,1242.0
470,1400739409,1468429258,1241.0
471,1288345840,1431000861,1240.0
472,1137738998,1425667689,1240.0
473,1238958753,1401977752,1238.0
474,1160980171,1428549791,1238.0
475,1076659626,1196976299,1237.0
476,1230982786,1407272195,1236.0
477,1301001697,1395856480,1236.0
478,1196976299,1376077717,1235.0
479,1176908416,1219541257,1235.0
480,1235765787,1280005976,1235.0
481,1257293238,1387701179,1234.0
482,1394418056,1408293935,1234.0
483,1100373424,1196976299,1232.0
484,1196976299,1286383492,1232.0
485,1175993960,1434498491,1227.0
486,1268438293,1390531078,1223.0
487,1346859778,1474014038,1219.0
488,1341689344,1474879162,1219.0
489,1177133774,1472934932,1215.0
490,1269390275,1445560740,1212.0
491,1162141400,1294695598,1209.0
492,1449467014,1474014038,1208.0
493,1344640500,1408807671,1206.0
494,1160980171,1298694152,1205.0
495,1445560740,1480302189,1203.0
496,1112946347,1210696977,1203.0
497,1418792745,1496157748,1201.0
498,1324296045,1398930775,1200.0
499,1384202874,1415766367,1199.0
500,1299409493,1366090180,1196.0
501,1319934286,1398930775,1196.0
502,1210696977,1376077717,1196.0
503,1217558273,1420473305,1193.0
