rank,node,degree
320,1222749164,3548
321,1375626798,3535
322,1379442536,3530
323,1216797781,3526
324,1105605372,3524
325,1310336110,3518
326,1055976792,3512
327,1182008231,3512
328,1072206406,3500
329,1110247979,3496
330,1387278024,3489
331,1443085801,3477
332,1082890487,3473
333,1189318667,3470
334,1143731047,3468
335,1059873817,3464
336,1135090066,3464
337,1113189813,3460
338,1210878895,3458
339,1096787972,3456
340,1279466095,3450
341,1115782346,3446
342,1300493642,3446
343,1368482468,3441
344,1055875472,3440
345,1211179236,3436
346,1328850508,3435
347,1140511110,3434
348,1129940641,3425
349,1102485645,3420
350,1066588268,3411
351,1213048479,3408
352,1351618858,3408
353,1132836712,3402
354,1233537485,3401
355,1059498198,3400
356,1255777901,3397
357,1137311728,3396
358,1098306982,3392
359,1066893438,3390
360,1133954927,3377
361,1326820209,3376
362,1149082499,3371
363,1125166243,3368
364,1120529001,3367
365,1186906535,3367
366,1178221570,3364
367,1058492394,3362
368,1074003058,3360
369,1310279583,3356
370,1108345927,3355
371,1121829691,3347
372,1345754852,3343
373,1139473465,3337
374,1274384607,3333
375,1117473297,3328
376,1063197800,3327
377,1315054392,3316
378,1346792556,3316
379,1147986963,3312
380,1108294897,3308
381,1046327342,3306
382,1339972938,3303
383,1144920422,3300
384,1129502826,3298
385,1075659420,3288
386,1128556947,3288
387,1165423911,3287
388,1223369638,3285
389,1287699881,3280
390,1278264237,3279
391,1352459222,3278
392,1147066194,3275
393,1111288993,3274
394,1074089267,3270
395,1057916814,3263
396,1139601981,3255
397,1051964010,3254
398,1181872406,3249
399,1182247539,3249
400,1140940233,3246
401,1100614670,3245
402,1250375208,3244
403,1387099343,3242
404,1431665056,3241
405,1002538340,3239
406,1149489207,3237
407,1133449578,3234
408,1128279374,3232
409,1357763805,3232
410,1259656395,3229
411,1308155716,3229
412,1116061401,3227
413,1113484500,3223
414,1202980235,3223
415,1432761262,3215
416,1097814542,3214
417,1332352500,3208
418,1106116343,3205
419,1088852524,3203
420,1287319930,3198
421,1146535136,3197
422,1156109823,3192
423,1104494136,3189
424,1332382938,3184
425,1246532181,3183
426,1101003800,3182
427,1092365138,3177
428,1127995687,3176
429,1073418103,3174
430,1213513136,3173
431,1122486057,3171
432,1035221610,3162
433,1357296133,3159
434,1003842823,3158
435,1124264856,3156
436,1136064759,3155
437,1090800578,3154
438,1362187763,3152
439,1387438338,3152
440,1205920166,3150
441,1126211001,3149
442,1080162564,3148
443,1144147337,3147
444,1216681277,3146
445,1105389662,3141
446,1100907376,3138
447,1211572183,3136
448,1327002980,3136
449,1150813779,3132
450,1106372132,3130
451,1143681541,3128
452,1103214621,3126
453,1324690222,3122
454,1138161582,3118
455,1058325766,3114
456,1076401806,3113
457,1104379266,3113
458,1061956188,3111
459,1117016034,3104
460,1294728715,3102
461,1143080830,3099
462,1307852259,3099
463,1104645957,3090
464,1086377869,3089
465,1058681706,3087
466,1139489848,3087
467,1366600768,3087
468,1174981732,3086
469,1306344853,3083
470,1039571756,3080
471,1304163268,3080
472,1228012129,3079
473,1068354129,3076
474,1106112253,3075
475,1072077713,3073
476,1090729553,3070
477,1136698020,3070
478,1111420529,3067
479,1102766367,3065
480,1233666886,3065
481,1058410527,3064
482,1102934304,3060
483,1007303151,3057
484,1487537299,3057
485,1285898695,3056
486,1147123828,3048
487,1324926829,3045
488,1138945311,3043
489,1193361563,3037
490,1111373445,3036
491,1268065783,3033
492,1068740997,3031
493,1021903131,3026
494,1074356849,3021
495,1132096896,3016
496,1310277727,3014
497,1298873179,3011
498,1332618810,3010
499,1275496039,3009
500,1130746629,3008
501,1201996011,2999
502,1374581537,2998
503,1148293416,2996
504,1197082095,2994
505,1046838448,2992
506,1336806627,2988
507,1025064790,2983
508,1291842860,2983
509,1400949312,2972
510,1289773911,2968
511,1326367833,2962
512,1333751097,2959
513,1138078098,2958
514,1177037421,2957
515,1221531979,2957
516,1179457270,2955
517,1174161347,2947
518,1085673308,2941
519,1086274171,2938
520,1120579127,2938
521,1062004050,2935
522,1234717347,2935
523,1250638015,2933
524,1351180071,2933
525,1144310241,2930
526,1234709750,2925
527,1295156601,2922
528,1075208005,2919
529,1101072336,2919
530,1194122642,2916
531,1198850884,2916
532,1365079132,2916
533,1242093468,2915
534,1112409062,2912
535,1131409962,2911
536,1119425797,2909
537,1168871413,2907
538,1031708047,2905
539,1065898621,2905
540,1073867282,2901
541,1074104390,2901
542,1063348594,2900
543,1418716259,2899
544,1096970074,2897
545,1230818366,2896
546,1264440084,2893
547,1003541227,2892
548,1260703582,2892
549,1139996837,2888
550,1101798135,2883
551,1119394181,2881
552,1118167722,2877
553,1303044890,2876
554,1270173330,2874
555,1134589444,2872
556,1398917173,2871
557,1301589619,2869
558,1349571766,2867
559,1051602349,2864
560,1259272346,2864
561,1105912449,2860
562,1102035345,2859
563,1195664219,2858
564,1360778245,2857
565,1391340382,2856
566,1079834077,2853
567,1235788676,2850
568,1080656250,2849
569,1101889096,2847
570,1029124240,2841
571,1115491532,2841
572,1136186322,2841
573,1084362547,2837
574,1162159806,2835
575,1110742104,2832
576,1114663629,2832
577,1117938264,2831
578,1197961003,2828
579,1215558929,2827
580,1058205874,2826
581,1495680208,2826
582,1112379069,2824
583,1037077017,2822
584,1059155129,2820
585,1118592862,2820
586,1270799571,2818
587,1147877619,2817
588,1143165167,2816
589,1157872916,2816
590,1314184346,2815
591,1106415362,2814
592,1103925112,2809
593,1189452354,2809
594,1113073648,2808
595,1346138590,2802
596,1232248315,2798
597,1050810226,2789
598,1482905732,2789
599,1176521899,2787
600,1254497705,2787
601,1131162096,2786
602,1365097796,2786
603,1102287557,2779
604,1371077138,2775
605,1219673222,2769
606,1373642197,2766
607,1034421685,2764
608,1062654182,2763
609,1276691702,2763
610,1147946553,2760
611,1190722329,2757
612,1098783863,2754
613,1338067632,2754
614,1112310216,2752
615,1183599688,2752
616,1271997217,2752
617,1417062854,2749
618,1062727040,2748
619,1120711480,2748
620,1380190420,2747
621,1373874620,2742
622,1100524239,2738
623,1114935021,2737
624,1086043369,2733
625,1151345959,2733
626,1137633252,2727
627,1069255224,2725
628,1088729257,2722
629,1139920439,2721
630,1123361926,2714
631,1249947468,2709
632,1330716128,2709
633,1337381641,2709
634,1207335437,2708
635,1077940655,2706
636,1136116670,2704
637,1061765079,2703
